,cycle,host biomass,virus mass,ATPM,VBOF
39,0.39,5e-06,3.211999102883998e-08,1.0,0.0164717902712
40,0.4,5e-06,3.294358054239998e-08,1.0,0.0164717902712
41,0.41000000000000003,5e-06,3.376717005595998e-08,1.0,0.0164717902712
42,0.42,5e-06,3.459075956951998e-08,1.0,0.0164717902712
43,0.43,5e-06,3.541434908307998e-08,1.0,0.0164717902712
44,0.44,5e-06,3.623793859663998e-08,1.0,0.0164717902712
45,0.45,5e-06,3.706152811019998e-08,1.0,0.0164717902712
46,0.46,5e-06,3.788511762375998e-08,1.0,0.0164717902712
47,0.47000000000000003,5e-06,3.870870713731998e-08,1.0,0.0164717902712
48,0.48,5e-06,3.953229665087998e-08,1.0,0.0164717902712
49,0.49,5e-06,4.0355886164439976e-08,1.0,0.0164717902712
50,0.5,5e-06,4.1179475677999976e-08,1.0,0.0164717902712
51,0.51,5e-06,4.2003065191559975e-08,1.0,0.0164717902712
52,0.52,5e-06,4.2826654705119974e-08,1.0,0.0164717902712
53,0.53,5e-06,4.3650244218679974e-08,1.0,0.0164717902712
54,0.54,5e-06,4.447383373223997e-08,1.0,0.0164717902712
55,0.55,5e-06,4.529742324579997e-08,1.0,0.0164717902712
56,0.56,5e-06,4.612101275935997e-08,1.0,0.0164717902712
57,0.5700000000000001,5e-06,4.694460227291997e-08,1.0,0.0164717902712
58,0.58,5e-06,4.776819178647997e-08,1.0,0.0164717902712
59,0.59,5e-06,4.859178130003997e-08,1.0,0.0164717902712
60,0.6,5e-06,4.941537081359997e-08,1.0,0.0164717902712
61,0.61,5e-06,5.023896032715997e-08,1.0,0.0164717902712
62,0.62,5e-06,5.106254984071997e-08,1.0,0.0164717902712
63,0.63,5e-06,5.188613935427997e-08,1.0,0.0164717902712
64,0.64,5e-06,5.270972886783997e-08,1.0,0.0164717902712
65,0.65,5e-06,5.3533318381399966e-08,1.0,0.0164717902712
66,0.66,5e-06,5.4356907894959966e-08,1.0,0.0164717902712
67,0.67,5e-06,5.5180497408519965e-08,1.0,0.0164717902712
68,0.68,5e-06,5.6004086922079965e-08,1.0,0.0164717902712
69,0.6900000000000001,5e-06,5.6827676435639964e-08,1.0,0.0164717902712
70,0.7000000000000001,5e-06,5.765126594919996e-08,1.0,0.0164717902712
71,0.71,5e-06,5.847485546275996e-08,1.0,0.0164717902712
72,0.72,5e-06,5.929844497631996e-08,1.0,0.0164717902712
73,0.73,5e-06,6.012203448987996e-08,1.0,0.0164717902712
74,0.74,5e-06,6.094562400343997e-08,1.0,0.0164717902712
75,0.75,5e-06,6.176921351699997e-08,1.0,0.0164717902712
76,0.76,5e-06,6.259280303055998e-08,1.0,0.0164717902712
77,0.77,5e-06,6.341639254411999e-08,1.0,0.0164717902712
78,0.78,5e-06,6.423998205767999e-08,1.0,0.0164717902712
79,0.79,5e-06,6.506357157124e-08,1.0,0.0164717902712
80,0.8,5e-06,6.58871610848e-08,1.0,0.0164717902712
81,0.81,5e-06,6.671075059836001e-08,1.0,0.0164717902712
82,0.8200000000000001,5e-06,6.753434011192002e-08,1.0,0.0164717902712
83,0.8300000000000001,5e-06,6.835792962548002e-08,1.0,0.0164717902712
84,0.84,5e-06,6.918151913904003e-08,1.0,0.0164717902712
85,0.85,5e-06,7.000510865260003e-08,1.0,0.0164717902712
86,0.86,5e-06,7.082869816616004e-08,1.0,0.0164717902712
87,0.87,5e-06,7.165228767972005e-08,1.0,0.0164717902712
88,0.88,5e-06,7.247587719328005e-08,1.0,0.0164717902712
89,0.89,5e-06,7.329946670684006e-08,1.0,0.0164717902712
90,0.9,5e-06,7.412305622040006e-08,1.0,0.0164717902712
