0 Unknown
1 Unknown
2 Unknown
3 Unknown
4 Unknown
5 Unknown
6 Unknown
7 Unknown
8 Unknown
9 Unknown
10 Unknown
11 Unknown
12 Unknown
13 Unknown
14 Unknown
15 Unknown
16 Unknown
17 Unknown
18 Unknown
19 Unknown
20 Unknown
21 Unknown
22 Unknown
23 Unknown
24 Unknown
25 Unknown
26 Unknown
27 Unknown
28 Unknown
542 Unknown
543 Unknown
544 Valine, Leucine, and Isoleucine Metabolism
545 Cholesterol Metabolism
546 Tryptophan metabolism
547 Cholesterol Metabolism
548 Fatty Acid Metabolism
549 Fatty Acid Metabolism
550 Fatty Acid Metabolism
551 Fatty Acid Metabolism
552 Fatty Acid Metabolism
553 Fatty Acid Metabolism
554 Transport, Extracellular
555 Transport, Mitochondrial
556 Transport, Peroxisomal
557 Transport, Extracellular
558 Transport, Mitochondrial
559 Unknown
560 Transport, Peroxisomal
561 Fatty Acid Metabolism
562 Unknown
563 Propanoate Metabolism
564 Propanoate Metabolism
565 Transport, Extracellular
566 Transport, Nuclear
567 Transport, Endoplasmic Reticular
568 Transport, Extracellular
569 Transport, Mitochondrial
570 Transport, Golgi Apparatus
571 Transport, Lysosomal
572 Transport, Extracellular
573 Transport, Golgi Apparatus
574 Transport, Extracellular
575 Transport, Golgi Apparatus
576 Transport, Lysosomal
577 Aminosugar Metabolism
578 Unknown
579 Aminosugar Metabolism
580 Aminosugar Metabolism
581 Transport, Lysosomal
582 Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
583 Glycerophospholipid Metabolism
584 Transport, Extracellular
585 Citric Acid Cycle
586 Transport, Extracellular
587 Transport, Golgi Apparatus
588 Transport, Extracellular
589 Transport, Golgi Apparatus
590 Transport, Extracellular
591 Transport, Golgi Apparatus
592 Transport, Extracellular
593 Transport, Golgi Apparatus
594 Aminosugar Metabolism
595 Aminosugar Metabolism
596 Aminosugar Metabolism
597 Transport, Lysosomal
598 Transport, Nuclear
599 Transport, Extracellular
600 Transport, Golgi Apparatus
601 Unknown
602 Valine, Leucine, and Isoleucine Metabolism
603 Butanoate Metabolism
604 Valine, Leucine, and Isoleucine Metabolism
605 Valine, Leucine, and Isoleucine Metabolism
606 Unknown
607 Fatty Acid Metabolism
608 Fatty Acid Metabolism
609 Urea cycle/amino group metabolism
610 Citric Acid Cycle
611 Citric Acid Cycle
612 Bile Acid Biosynthesis
613 Bile Acid Biosynthesis
614 Unknown
615 Transport, Mitochondrial
616 Glycolysis/Gluconeogenesis
617 Propanoate Metabolism
618 Glycolysis/Gluconeogenesis
619 Pyruvate Metabolism
620 Pyruvate Metabolism
621 Glycolysis/Gluconeogenesis
622 Transport, Mitochondrial
623 Transport, Extracellular
624 Transport, Golgi Apparatus
625 Purine Catabolism
626 Nucleotides
627 Propanoate Metabolism
628 Transport, Extracellular
629 Transport, Lysosomal
630 Transport, Peroxisomal
631 Nucleotides
632 Nucleotides
633 Nucleotides
634 Nucleotides
635 Nucleotides
636 Arginine and Proline Metabolism
637 Nucleotides
638 Nucleotides
639 Nucleotides
640 Transport, Extracellular
641 Transport, Extracellular
642 Transport, Extracellular
643 Transport, Lysosomal
644 Transport, Mitochondrial
645 Nucleotides
646 Nucleotides
647 Nucleotides
648 Nucleotides
649 Transport, Extracellular
650 Salvage Pathway
651 Transport, Peroxisomal
652 Transport, Peroxisomal
653 Carnitine shuttle
654 Carnitine shuttle
655 Carnitine shuttle
656 Transport, Extracellular
657 Transport, Extracellular
658 Selenoamino acid metabolism
659 Nucleotides
660 Nucleotides
661 IMP Biosynthesis
662 Nucleotides
663 Transport, Extracellular
664 Keratan sulfate biosynthesis
665 Keratan sulfate biosynthesis
666 Keratan sulfate biosynthesis
667 Keratan sulfate biosynthesis
668 Keratan sulfate biosynthesis
669 Keratan sulfate biosynthesis
